X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0500659483643,39.043135226112,Blueridge Ave & Elkin St,classic,ce78d5f4-486a-4a64-8518-5a10bfd7ef94,active,2023/04/19 22:00:21+00,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,39.04313,-77.05006,2023/04/19 22:02:42+00,101086914
-77.08890730721,38.8904043484712,Wilson Blvd & N Franklin Rd,classic,0824fb6c-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:02:04+00,3,0,9,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.8904,-77.0889,2023/04/19 22:02:42+00,101086915
-76.9680905342868,38.9553568093059,West Hyattsville Metro,classic,cdaa435b-2b99-442a-a274-d6682067ad88,active,2023/04/19 22:00:29+00,14,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",133,Prince George's County,,38.955349,-76.968084,2023/04/19 22:02:42+00,101086916
-77.0239790106342,38.8942913074024,9th St & Pennsylvania Ave NW,classic,5d8b76d9-ae82-464b-87f1-37553a9fec6c,active,2023/04/19 22:00:35+00,16,0,10,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,"Washington, DC",,38.89428,-77.023979,2023/04/19 22:02:42+00,101086917
-77.0748913942572,38.890873603203,Arlington Blvd & Ft Myer Dr,classic,199ecf43-3fcc-446e-8b91-e151e7ad617f,active,2023/04/19 22:00:35+00,9,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.890863,-77.074893,2023/04/19 22:02:42+00,101086918
-77.0849152739762,38.8484641524643,S Kenmore St & 24th St S,classic,08254e55-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:31+00,4,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.848454,-77.084918,2023/04/19 22:02:42+00,101086919
-77.1798360087613,38.8883809575412,N Oak St & W Broad St,classic,edb40673-8b68-4db1-b9bf-6cb7943fdb50,active,2023/04/19 22:00:37+00,2,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",152,"Falls Church, VA",,38.88837,-77.179832,2023/04/19 22:02:42+00,101086920
-77.0116222338188,38.8971128095495,New Jersey Ave & F St NW,classic,96ce48cf-5d98-4dfb-86b1-f461230cd193,active,2023/04/19 22:00:39+00,19,1,13,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,33,"KEY,CREDITCARD",42,"Washington, DC",,38.897108,-77.011616,2023/04/19 22:02:42+00,101086921
-76.9982732248956,38.8929425006527,Massachusetts Ave & 6th St NE,classic,880978b9-5084-4576-a206-8d94cdbf4427,active,2023/04/19 22:00:40+00,11,0,7,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.892934,-76.998273,2023/04/19 22:02:42+00,101086922
-77.0260660427013,38.8959213750101,10th & E St NW,classic,08253e7e-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:40+00,13,0,1,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.895914,-77.026064,2023/04/19 22:02:42+00,101086923
-77.3619023103047,38.9625301839679,Town Center Pkwy & Bowman Towne Dr,classic,08263885-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:40+00,7,0,8,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",104,"Fairfax, VA",,38.962524,-77.361902,2023/04/19 22:02:42+00,101086924
-77.0105571199252,38.8662862024577,Half & Water St SW,classic,d49c5d1b-d02b-4c35-b60d-ed3cc6d51479,active,2023/04/19 22:00:38+00,1,0,14,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.866277,-77.010551,2023/04/19 22:02:42+00,101086925
-77.1045067466838,38.8694469078602,Arlington Blvd & S George Mason Dr,classic,0825f58d-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:48+00,13,0,1,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.869442,-77.104503,2023/04/19 22:02:42+00,101086926
-77.2303392256274,38.9224610678052,Greensboro & Pinnacle Dr,classic,730f282a-2f5b-4fda-b82f-5c94b3d5a2a6,active,2023/04/19 22:00:48+00,11,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,13,"KEY,CREDITCARD",104,"Fairfax, VA",,38.92245,-77.23034,2023/04/19 22:02:42+00,101086927
-76.9691809194837,38.8616703037464,Good Hope & Naylor Rd SE,classic,08247ed8-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:49+00,10,0,9,5,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.861663,-76.969184,2023/04/19 22:02:42+00,101086928
-77.0859356620981,38.8444096047149,S Four Mile Run Dr & Shirlington Rd,classic,08254a91-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:00:49+00,2,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.8444,-77.085931,2023/04/19 22:02:42+00,101086929
-77.3542838294067,38.9642200551937,Reston Pkwy & Spectrum Dr,classic,686c82c2-23fe-4c15-9c75-708f61de98c7,active,2023/04/19 22:00:45+00,10,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",104,"Fairfax, VA",,38.964208,-77.35428,2023/04/19 22:02:42+00,101086930
-77.1539602366137,38.8780943049492,N Roosevelt St & Roosevelt Blvd,classic,5f19b359-6bc4-45f6-bdcf-31352690e6ee,active,2023/04/19 22:02:08+00,5,0,7,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",152,"Falls Church, VA",,38.878085,-77.153953,2023/04/19 22:02:42+00,101086931
-76.98070753236,38.9725112830385,Riggs Rd & East West Hwy,classic,f0d65475-a505-474b-a40f-2488459105ac,active,2023/04/19 22:01:47+00,13,0,4,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",133,Prince George's County,,38.9725,-76.9807,2023/04/19 22:02:42+00,101086932
-76.9914731022418,38.8859156680802,11th & C St SE,classic,3f1dfbbd-7b34-4efd-91a3-60acad4cf42f,active,2023/04/19 22:01:46+00,11,0,7,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.885908,-76.991476,2023/04/19 22:02:42+00,101086933
-77.0761333000409,38.866478060886,Rolfe St & 9th St S,classic,0825e443-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:46+00,3,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",41,"Arlington, VA",,38.866471,-77.076131,2023/04/19 22:02:42+00,101086934
-77.1077322324762,38.8763984685276,N Quincy St & Glebe Rd,classic,08251bba-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:45+00,11,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.876393,-77.107735,2023/04/19 22:02:42+00,101086935
